Country,Powerplant Name,gppd_idnr,Capacity (MW),Latitude,Longitude,Primary Fuel,Owner,Source
Afghanistan,Kajaki Hydroelectric Power Plant Afghanistan,GEODB0040538,33.0,32.322,65.119,Hydro,,GEODB
Afghanistan,Mahipar Hydroelectric Power Plant Afghanistan,GEODB0040541,66.0,34.556,69.4787,Hydro,,GEODB
Afghanistan,Naghlu Dam Hydroelectric Power Plant Afghanistan,GEODB0040534,100.0,34.641,69.717,Hydro,,GEODB
Afghanistan,Nangarhar (Darunta) Hydroelectric Power Plant Afghanistan,GEODB0040536,11.55,34.4847,70.3633,Hydro,,GEODB
Afghanistan,Northwest Kabul Power Plant Afghanistan,GEODB0040540,42.0,34.5638,69.1134,Gas,,GEODB
Afghanistan,Pul-e-Khumri Hydroelectric Power Plant Afghanistan,GEODB0040537,6.0,35.9416,68.71,Hydro,,GEODB
Afghanistan,Sarobi Dam Hydroelectric Power Plant Afghanistan,GEODB0040535,22.0,34.5865,69.7757,Hydro,,GEODB
Albania,Bistrica 1,WRI1002169,27.0,39.9116,20.1047,Hydro,,Energy Charter Secretariat
Albania,Fierza,WRI1002170,500.0,42.2514,20.0431,Hydro,,Energy Charter Secretariat
Albania,Koman,WRI1002171,600.0,42.1033,19.8224,Hydro,,Energy Charter Secretariat
Albania,Lanabregas,WRI1002172,5.0,41.3428,19.8964,Hydro,,Energy Charter Secretariat
Albania,Shkopet,WRI1002173,24.0,41.6796,19.8305,Hydro,,Energy Charter Secretariat
Albania,Ulez,WRI1002174,25.0,41.6796,19.8936,Hydro,,Energy Charter Secretariat
Albania,Vau i Dijes,WRI1002175,250.0,42.0137,19.6359,Hydro,,Energy Charter Secretariat
Albania,Vlora,WRI1002176,98.0,40.4874,19.434,Other,,Energy Charter Secretariat
Algeria,Ain Djasser,WRI1023776,520.0,35.8665,6.0262,Gas,SociÃ©te AlgÃ©rienne de Production de l\'ElectricitÃ©,Arab Union of Electricity
Algeria,Annaba,WRI1023795,71.0,36.8924,7.7634,Gas,SociÃ©tÃ© AlgÃ©rienne de Production de lâ€™ElectricitÃ© (SPE),Arab Union of Electricity
Algeria,Arbaa,WRI1023777,560.0,36.5988,3.1375,Gas,Sonelgaz,Arab Union of Electricity
Algeria,Boufarik 1,WRI1023792,100.0,36.5914,2.9223,Gas,,Arab Union of Electricity
Algeria,Boufarik 2,WRI1023793,450.0,36.596,2.878,Gas,,Arab Union of Electricity
Algeria,Boutelilis,WRI1023781,450.0,35.5658,-0.9386,Gas,,Arab Union of Electricity
Algeria,F'Krina,WRI1023785,292.0,35.7666,7.3619,Gas,Sonelgaz Production de lâ€™Electricite,Arab Union of Electricity
Algeria,Hadjret Ennous,WRI1023768,1200.0,36.5767,2.0797,Gas,Sharikat Kahraba Hadjret En-Nouss,Arab Union of Electricity
Algeria,Hamma 2,WRI1023783,418.0,36.7489,3.0823,Gas,Sonelgaz Production de lâ€™Electricite,Arab Union of Electricity
Algeria,Hassi Messaoud Mobile,WRI1023796,72.0,31.6703,6.0531,Gas,Sonelgaz Production de l'Electricite,Arab Union of Electricity
Algeria,Hassi Messoud,WRI1023779,600.0,31.6703,6.0531,Gas,Sonelgaz Production de l'Electricite,Arab Union of Electricity
Algeria,Hassi Messoud Nord 2,WRI1023790,200.0,31.7877,6.0517,Gas,Sonelgaz Production de l'Electricite,Arab Union of Electricity
Algeria,Hassi Messoud Ouest,WRI1023799,492.0,31.8065,5.9924,Gas,Sonelgaz Production de l'Electricite,Arab Union of Electricity
